WTCHG_24917_02,acy,F,G,ACYFG1,Anser cygnoides
WTCHG_24917_03,acy,F,G,ACYFG2,Anser cygnoides
WTCHG_24917_04,acy,F,G,ACYFG3,Anser cygnoides
WTCHG_24907_08,acy,F,G,ACYFG4,Anser cygnoides
WTCHG_24907_10,acy,F,G,ACYFG5,Anser cygnoides
WTCHG_24916_06,acy,F,S,ACYFS1,Anser cygnoides
WTCHG_24916_07,acy,F,S,ACYFS2,Anser cygnoides
WTCHG_24916_08,acy,F,S,ACYFS3,Anser cygnoides
WTCHG_24916_10,acy,F,S,ACYFS4,Anser cygnoides
WTCHG_24907_02,acy,F,S,ACYFS5,Anser cygnoides
WTCHG_24917_05,acy,M,G,ACYMG1,Anser cygnoides
WTCHG_24917_06,acy,M,G,ACYMG2,Anser cygnoides
WTCHG_24917_07,acy,M,G,ACYMG3,Anser cygnoides
WTCHG_24917_08,acy,M,G,ACYMG4,Anser cygnoides
WTCHG_24917_10,acy,M,G,ACYMG5,Anser cygnoides
WTCHG_24907_03,acy,M,S,ACYMS1,Anser cygnoides
WTCHG_24907_04,acy,M,S,ACYMS2,Anser cygnoides
WTCHG_24907_05,acy,M,S,ACYMS3,Anser cygnoides
WTCHG_24907_06,acy,M,S,ACYMS4,Anser cygnoides
WTCHG_24907_07,acy,M,S,ACYMS5,Anser cygnoides
WTCHG_24918_02,apl,F,S,APLFS1,Anas platyrhynchos
WTCHG_24918_03,apl,F,S,APLFS2,Anas platyrhynchos
WTCHG_24918_04,apl,F,S,APLFS3,Anas platyrhynchos
WTCHG_24918_05,apl,F,S,APLFS4,Anas platyrhynchos
WTCHG_24918_06,apl,F,S,APLFS5,Anas platyrhynchos
WTCHG_24918_07,apl,M,S,APLMS1,Anas platyrhynchos
WTCHG_24918_08,apl,M,S,APLMS2,Anas platyrhynchos
WTCHG_24918_10,apl,M,S,APLMS3,Anas platyrhynchos
WTCHG_24919_02,apl,M,S,APLMS4,Anas platyrhynchos
WTCHG_24919_03,apl,M,S,APLMS5,Anas platyrhynchos
WTCHG_24919_04,apl,F,G,APLFG1,Anas platyrhynchos
WTCHG_24919_05,apl,F,G,APLFG2,Anas platyrhynchos
WTCHG_24919_06,apl,F,G,APLFG3,Anas platyrhynchos
WTCHG_24919_07,apl,F,G,APLFG4,Anas platyrhynchos
WTCHG_24919_08,apl,F,G,APLFG5,Anas platyrhynchos
WTCHG_24919_10,apl,M,G,APLMG1,Anas platyrhynchos
WTCHG_24920_02,apl,M,G,APLMG2,Anas platyrhynchos
WTCHG_24920_03,apl,M,G,APLMG3,Anas platyrhynchos
WTCHG_24920_04,apl,M,G,APLMG4,Anas platyrhynchos
WTCHG_24920_05,apl,M,G,APLMG5,Anas platyrhynchos
WTCHG_24920_06,mga,F,S,MGAFS1,Meleagris gallopavo
WTCHG_24920_07,mga,F,S,MGAFS2,Meleagris gallopavo
WTCHG_24920_08,mga,M,S,MGAMS1,Meleagris gallopavo
WTCHG_24920_10,mga,M,S,MGAMS2,Meleagris gallopavo
WTCHG_24921_02,mga,M,S,MGAMS3,Meleagris gallopavo
WTCHG_24921_04,mga,F,G,MGAFG1,Meleagris gallopavo
WTCHG_24921_05,mga,F,G,MGAFG2,Meleagris gallopavo
WTCHG_24921_06,mga,F,G,MGAFG3,Meleagris gallopavo
WTCHG_24921_07,mga,F,G,MGAFG4,Meleagris gallopavo
WTCHG_24921_08,mga,F,G,MGAFG5,Meleagris gallopavo
WTCHG_24921_10,mga,M,G,MGAMG1,Meleagris gallopavo
WTCHG_24922_02,mga,M,G,MGAMG2,Meleagris gallopavo
WTCHG_24922_03,mga,M,G,MGAMG3,Meleagris gallopavo
WTCHG_24922_05,mga,M,G,MGAMG4,Meleagris gallopavo
WTCHG_24922_06,mga,M,G,MGAMG5,Meleagris gallopavo
WTCHG_24921_03,mga,SM,S,MGASMS1,Meleagris gallopavo
WTCHG_24922_04,mga,SM,G,MGASMG1,Meleagris gallopavo
WTCHG_24922_07,mga,SM,G,MGASMG2,Meleagris gallopavo
WTCHG_24922_08,mga,M,BR,POOLED_M,Meleagris gallopavo
WTCHG_24922_10,mga,F,BR,POOLED_F,Meleagris gallopavo
WTCHG_27221_103,phe,F,S,PCOFS1,Phasianus colchicus
WTCHG_27221_115,phe,F,S,PCOFS2,Phasianus colchicus
WTCHG_27223_121,phe,F,S,PCOFS3,Phasianus colchicus
WTCHG_27223_133,phe,F,S,PCOFS4,Phasianus colchicus
WTCHG_27223_145,phe,F,S,PCOFS5,Phasianus colchicus
WTCHG_27221_127,phe,M,S,PCOMS1,Phasianus colchicus
WTCHG_27221_139,phe,M,S,PCOMS2,Phasianus colchicus
WTCHG_27223_157,phe,M,S,PCOMS3,Phasianus colchicus
WTCHG_27223_169,phe,M,S,PCOMS4,Phasianus colchicus
WTCHG_27223_181,phe,M,S,PCOMS5,Phasianus colchicus
WTCHG_27223_193,phe,M,S,PCOMS6,Phasianus colchicus
WTCHG_27221_151,phe,F,G,PCOFG1,Phasianus colchicus
WTCHG_27224_106,phe,F,G,PCOFG2,Phasianus colchicus
WTCHG_27224_118,phe,F,G,PCOFG3,Phasianus colchicus
WTCHG_27224_130,phe,F,G,PCOFG4,Phasianus colchicus
WTCHG_27224_142,phe,F,G,PCOFG5,Phasianus colchicus
WTCHG_27221_163,phe,M,G,PCOMG1,Phasianus colchicus
WTCHG_27221_175,phe,M,G,PCOMG2,Phasianus colchicus
WTCHG_27224_154,phe,M,G,PCOMG3,Phasianus colchicus
WTCHG_27224_166,phe,M,G,PCOMG4,Phasianus colchicus
WTCHG_27224_178,phe,M,G,PCOMG5,Phasianus colchicus
WTCHG_27224_190,phe,M,G,PCOMG6,Phasianus colchicus
WTCHG_24304_02,nme,F,S,NMEFS1,Numida meleagris
WTCHG_24304_03,nme,F,S,NMEFS2,Numida meleagris
WTCHG_24304_04,nme,F,S,NMEFS3,Numida meleagris
WTCHG_24304_05,nme,F,S,NMEFS4,Numida meleagris
WTCHG_24304_06,nme,F,S,NMEFS5,Numida meleagris
WTCHG_24304_07,nme,M,S,NMEMS1,Numida meleagris
WTCHG_24304_08,nme,M,S,NMEMS2,Numida meleagris
WTCHG_24304_12,nme,M,S,NMEMS3,Numida meleagris
WTCHG_24915_02,nme,M,S,NMEMS4,Numida meleagris
WTCHG_24915_03,nme,M,S,NMEMS5,Numida meleagris
WTCHG_24915_04,nme,F,G,NMEFG1,Numida meleagris
WTCHG_24915_05,nme,F,G,NMEFG2,Numida meleagris
WTCHG_24915_06,nme,F,G,NMEFG3,Numida meleagris
WTCHG_24915_07,nme,F,G,NMEFG4,Numida meleagris
WTCHG_24915_08,nme,F,G,NMEFG5,Numida meleagris
WTCHG_24915_10,nme,M,G,NMEMG1,Numida meleagris
WTCHG_24916_02,nme,M,G,NMEMG2,Numida meleagris
WTCHG_24916_03,nme,M,G,NMEMG3,Numida meleagris
WTCHG_24916_04,nme,M,G,NMEMG4,Numida meleagris
WTCHG_24916_05,nme,M,G,NMEMG5,Numida meleagris
WTCHG_27179_101,pcr,F,S,PCRFS1,Pavo cristatus
WTCHG_27179_113,pcr,F,S,PCRFS2,Pavo cristatus
WTCHG_27179_125,pcr,F,S,PCRFS3,Pavo cristatus
WTCHG_27179_137,pcr,F,S,PCRFS4,Pavo cristatus
WTCHG_27179_149,pcr,F,S,PCRFS5,Pavo cristatus
WTCHG_27179_161,pcr,M,S,PCRMS1,Pavo cristatus
WTCHG_27179_173,pcr,M,S,PCRMS2,Pavo cristatus
WTCHG_27179_185,pcr,M,S,PCRMS3,Pavo cristatus
WTCHG_27180_102,pcr,M,S,PCRMS4,Pavo cristatus
WTCHG_27180_114,pcr,M,S,PCRMS5,Pavo cristatus
WTCHG_27180_126,pcr,F,G,PCRFG1,Pavo cristatus
WTCHG_27180_138,pcr,F,G,PCRFG2,Pavo cristatus
WTCHG_27180_150,pcr,F,G,PCRFG3,Pavo cristatus
WTCHG_27180_162,pcr,F,G,PCRFG4,Pavo cristatus
WTCHG_27180_174,pcr,F,G,PCRFG5,Pavo cristatus
WTCHG_27180_186,pcr,M,G,PCRMG1,Pavo cristatus
WTCHG_27222_168,pcr,M,G,PCRMG2,Pavo cristatus
WTCHG_27222_180,pcr,M,G,PCRMG3,Pavo cristatus
WTCHG_27222_192,pcr,M,G,PCRMG4,Pavo cristatus
WTCHG_27223_109,pcr,M,G,PCRMG5,Pavo cristatus
tgu_Sample_1-3,tgu,F,G,TGU13,Taeniopygia guttata
tgu_Sample_2-4,tgu,M,G,TGU14,Taeniopygia guttata
tgu_Sample_3-6,tgu,M,G,TGU17,Taeniopygia guttata
tgu_Sample_4-8,tgu,F,G,TGU22,Taeniopygia guttata
tgu_Sample_5-9,tgu,F,G,TGU23,Taeniopygia guttata
tgu_Sample_6-11,tgu,F,G,TGU25,Taeniopygia guttata
tgu_Sample_7-12,tgu,M,G,TGU26,Taeniopygia guttata
tgu_Sample_8-13,tgu,M,G,TGU27,Taeniopygia guttata
tgu_Sample_9-14,tgu,F,G,TGU28,Taeniopygia guttata
tgu_Sample_10-15,tgu,M,G,TGU29,Taeniopygia guttata
gal_Female1Ovarium_GTGGCC_L002,gal,F,G,GALF10,Gallus gallus
gal_Female1Spleen_GTCCGC_L001,gal,F,S,GALF1S,Gallus gallus
gal_Female2Ovarium_TGACCA_L005,gal,F,G,GALF2O,Gallus gallus
gal_Female3Ovarium_AGTCAA_L007,gal,F,G,GALF3O,Gallus gallus
gal_Female3Spleen_GGCTAC_L007,gal,F,S,GALF3S,Gallus gallus
gal_Female4Ovarium_GAGTGG_L003,gal,F,G,GALF4O,Gallus gallus
gal_Female4Spleen_GTTTCG_L002,gal,F,S,GALF4S,Gallus gallus
gal_Female5Ovarium_ACTTGA_L003,gal,F,G,GALF5O,Gallus gallus
gal_Female5Spleen_GCCAAT_L002,gal,F,S,GALF5S,Gallus gallus
gal_Male1Spleen_TTAGGC_L002,gal,M,S,GALM1S,Gallus gallus
gal_Male1Testes_ACAGTG_L003,gal,M,G,GALM1T,Gallus gallus
gal_Male2Spleen_CTTGTA_L005,gal,M,S,GALM2S,Gallus gallus
gal_Male2Testes_AGTTCC_L006,gal,M,G,GALM2T,Gallus gallus
gal_Male3Spleen_CGTACG_L002,gal,M,S,GALM3S,Gallus gallus
